"year","ubigeo","wi_prop"
2009,"160101",0.298520991094966
2009,"160102",1.01186692118692
2009,"160103",0.984113143559738
2009,"160104",0.958495932443528
2009,"160105",1.00888298960241
2009,"160106",0.999846322115404
2009,"160107",0.999514351618916
2009,"160108",0.690290760338136
2009,"160110",1.03915643206442
2009,"160112",0.687793399946448
2009,"160113",0.619298169788908
2009,"160201",0.600220457777329
2009,"160202",0.996838317513767
2009,"160205",0.95750700817638
2009,"160206",0.985066183336274
2009,"160210",1.02000814559927
2009,"160211",0.983881864402394
2009,"160301",0.889621776041976
2009,"160302",1.00093577705492
2009,"160303",0.990012290617996
2009,"160304",0.904579505482336
2009,"160305",1.00606753713553
2009,"160401",0.955546134213126
2009,"160402",0.965064414520778
2009,"160403",0.989401526825484
2009,"160404",0.964742433196248
2009,"160501",0.810385363045956
2009,"160502",1.0328603767446
2009,"160503",0.996262967405969
2009,"160504",1.00413766713814
2009,"160505",1.00810390053821
2009,"160506",1.00893989087981
2009,"160507",1.00234789005014
2009,"160508",1.05438324583592
2009,"160509",1.05745395629993
2009,"160510",0.98207055645382
2009,"160511",0.989095291361236
2009,"160601",0.895396310815023
2009,"160602",0.901657638275355
2009,"160603",1.00091713447499
2009,"160604",0.973376988250621
2009,"160605",0.99272779434552
2009,"160606",0.874894529225935
2009,"160701",0.836000693351067
2009,"160702",1.00650046540336
2009,"160703",0.980358427908832
2009,"160704",0.999336720118213
2009,"160705",0.992776885884748
2009,"160706",1.00792392840642
2009,"160801",0.901477002391934
2009,"160802",1.05527527020857
2009,"160803",1.00688805386058
2009,"160804",1.0569687925086
2010,"160101",0.298265588974052
2010,"160102",1.00860497996639
2010,"160103",0.984317820772475
2010,"160104",0.963418518166098
2010,"160105",1.00424540279053
2010,"160106",0.995812970289401
2010,"160107",0.996664371141871
2010,"160108",0.619713954350224
2010,"160110",1.03486237325046
2010,"160112",0.696932790212684
2010,"160113",0.633868685729186
2010,"160201",0.644202996051279
2010,"160202",1.00248003791859
2010,"160205",0.965944351471003
2010,"160206",0.989780910683476
2010,"160210",1.02436284600876
2010,"160211",0.990668298249209
2010,"160301",0.887853376936801
2010,"160302",1.00206983622542
2010,"160303",0.989742617730237
2010,"160304",0.900871127642931
2010,"160305",1.00655411126196
2010,"160401",0.955043049902327
2010,"160402",0.956889040911604
2010,"160403",0.988863512617879
2010,"160404",0.955337077450492
2010,"160501",0.855099529051336
2010,"160502",1.03608077293009
2010,"160503",1.0002539246418
2010,"160504",1.00431388697211
2010,"160505",1.00985922499091
2010,"160506",1.01357084685418
2010,"160507",1.00187082268267
2010,"160508",1.05793408016975
2010,"160509",1.0614193282817
2010,"160510",0.984631787412284
2010,"160511",0.990101713126433
2010,"160601",0.904748278631513
2010,"160602",0.904324047230766
2010,"160603",1.00353935186005
2010,"160604",0.968966622981938
2010,"160605",0.992480909507014
2010,"160606",0.870761785076652
2010,"160701",0.807523066703641
2010,"160702",1.01033826259207
2010,"160703",0.983790711988832
2010,"160704",0.998551966192814
2010,"160705",0.99385361187565
2010,"160706",1.00796768295312
2010,"160801",0.899806770988711
2010,"160802",1.05212119588708
2010,"160803",1.00327037749612
2010,"160804",1.05384103922537
2011,"160101",0.294286548973023
2011,"160102",1.00657659835525
2011,"160103",0.983800024075977
2011,"160104",0.969729722339488
2011,"160105",1.00041023937455
2011,"160106",0.993125197309093
2011,"160107",0.995053478338432
2011,"160108",0.579142150923392
2011,"160110",1.03159237115967
2011,"160112",0.728690203379502
2011,"160113",0.636694804178191
2011,"160201",0.658724220733576
