"year","ubigeo","edu_prop"
2009,"160101",0.845835248618071
2009,"160102",0.730763076264575
2009,"160103",0.72651110440633
2009,"160104",0.767143278463424
2009,"160105",0.714434429287233
2009,"160106",0.73117404750322
2009,"160107",0.669421156410844
2009,"160108",0.804598303081914
2009,"160110",0.69159253549382
2009,"160112",0.807102461316336
2009,"160113",0.812892520331431
2009,"160201",0.804520425002295
2009,"160202",0.615066369003709
2009,"160205",0.643113494772295
2009,"160206",0.755264300535756
2009,"160210",0.695513310870332
2009,"160211",0.705750238305607
2009,"160301",0.75580693926823
2009,"160302",0.744322635186961
2009,"160303",0.713020356930014
2009,"160304",0.703405734833218
2009,"160305",0.691695854410793
2009,"160401",0.723913205221448
2009,"160402",0.726269445625836
2009,"160403",0.743004107582495
2009,"160404",0.666647097651481
2009,"160501",0.799382760585513
2009,"160502",0.730110823065298
2009,"160503",0.753449245171094
2009,"160504",0.736649445852458
2009,"160505",0.719381305768416
2009,"160506",0.72012490076799
2009,"160507",0.741749562154336
2009,"160508",0.724331514213429
2009,"160509",0.734578985171508
2009,"160510",0.726579395860283
2009,"160511",0.704738936291979
2009,"160601",0.787281974892075
2009,"160602",0.783083307739557
2009,"160603",0.74187079662047
2009,"160604",0.7639297193763
2009,"160605",0.73592809398416
2009,"160606",0.786764380804558
2009,"160701",0.75630906967051
2009,"160702",0.649118708875091
2009,"160703",0.684999489886885
2009,"160704",0.662257010604161
2009,"160705",0.693696762093915
2009,"160706",0.629725992268358
2009,"160801",0.770685252017867
2009,"160802",0.729463719244673
2009,"160803",0.711467695611684
2009,"160804",0.715297844411866
2010,"160101",0.836848851763703
2010,"160102",0.724031156049914
2010,"160103",0.713970677396608
2010,"160104",0.741943275608963
2010,"160105",0.70664912859739
2010,"160106",0.724913273704353
2010,"160107",0.662313519781791
2010,"160108",0.821008736665499
2010,"160110",0.686974772790667
2010,"160112",0.797551253021972
2010,"160113",0.784291428187017
2010,"160201",0.789779557962216
2010,"160202",0.625432628302234
2010,"160205",0.638492885517161
2010,"160206",0.756363513327626
2010,"160210",0.690664203133131
2010,"160211",0.700947306198892
2010,"160301",0.76248179243381
2010,"160302",0.712906955559357
2010,"160303",0.705561252545335
2010,"160304",0.699425731482842
2010,"160305",0.673522129509263
2010,"160401",0.71770738610646
2010,"160402",0.719512221520233
2010,"160403",0.738266295041474
2010,"160404",0.644299861600747
2010,"160501",0.731761823928498
2010,"160502",0.724318107352304
2010,"160503",0.744641003493011
2010,"160504",0.721394559506033
2010,"160505",0.716595242228324
2010,"160506",0.727079964549347
2010,"160507",0.733635082469459
2010,"160508",0.715573893874419
2010,"160509",0.725826864809494
2010,"160510",0.715635811879297
2010,"160511",0.69629775745872
2010,"160601",0.798128707825212
2010,"160602",0.786350764189197
2010,"160603",0.744466171001622
2010,"160604",0.786856366972598
2010,"160605",0.734450625431862
2010,"160606",0.778429419416997
2010,"160701",0.749425124631196
2010,"160702",0.65897811621703
2010,"160703",0.67873571731223
2010,"160704",0.652237490723324
2010,"160705",0.689048320018039
2010,"160706",0.623378193945053
2010,"160801",0.763626771117616
2010,"160802",0.724226556053095
2010,"160803",0.707083169752586
2010,"160804",0.707484525405269
2011,"160101",0.85497898413694
2011,"160102",0.733347395875454
2011,"160103",0.707714404332713
2011,"160104",0.750149732453266
2011,"160105",0.717789122936641
2011,"160106",0.739648946793074
2011,"160107",0.718479947649318
2011,"160108",0.829274236876665
2011,"160110",0.70374788895461
2011,"160112",0.784972854137397
2011,"160113",0.804012313179376
2011,"160201",0.774490946018256
2011,"160202",0.607109776614891
2011,"160205",0.623973996574476
2011,"160206",0.754101192942949
2011,"160210",0.68599241379699
2011,"160211",0.694563446197364
2011,"160301",0.761784838257312
2011,"160302",0.726136059578908
2011,"160303",0.710739962269442
2011,"160304",0.708046208139354
2011,"160305",0.6845598601327
2011,"160401",0.744373518318449
2011,"160402",0.732537169031213
2011,"160403",0.737583905060504
2011,"160404",0.713434090788972
2011,"160501",0.715062019686693
2011,"160502",0.722847957399201
2011,"160503",0.742534697908193
2011,"160504",0.717511879520147
2011,"160505",0.71462605616723
2011,"160506",0.731052078444366
2011,"160507",0.738560250147838
2011,"160508",0.714588133653255
2011,"160509",0.724003824987427
2011,"160510",0.712081994610006
2011,"160511",0.697962291570116
2011,"160601",0.788125390206831
2011,"160602",0.785364886528045
2011,"160603",0.740535332312729
2011,"160604",0.800579169040668
2011,"160605",0.729660484006408
2011,"160606",0.774063943276483
2011,"160701",0.743958245678861
2011,"160702",0.652231696681315
