"year","iddist","pop_worldp","pop_landscan","malaria_cases","malaria_incidence","deforest_km2","deforest_cum","deforest_cum_percent","deforest_cum_cat","lst_dist","lst_night_dist","skintemp_dist","tmmx_dist","tmmn_dist","prep_dist","prep_dist_chrips","spei_06_dist","spei_12_dist","spei_24_dist","ndvi_dist","evi_dist","savi_dist","lclu_urban","lclu_livestock","lclu_natural_water","areakm2_ilegal_mining","area_mining_km2","total_miningkm2","lclu_mining","lclu_agriculture","lclu_agromosaic","prop_migration","areakm2_logging_cum","area_oil_km2","protected_area_total","wi_prop","edu_prop","prop_area_ethnicity","prop_urbanization"
2019,160101,167061.1024855,150253.6,721,4.79855391152026,0.7979134,9.18,9.42,0,27.4511492,21.0571188,25.5766565916667,31.6916666666667,21.5833333333333,2665.4175599,3259.3156694,0.35274415,0.321983158333333,0.170495933333333,0.815792016666667,0.540051091666667,1.221415,12.7073622,0.0392521,14.1907516,0,0,0,0.032116,0,143.4612619,0.0771159933884823,0,0,0.00193964379972539,0.398628876893887,0.872149536893574,0,0.98167777811559
2020,160101,172173.4673709,145333.4,207,1.42431127325171,1.2808577,10.46,13.94,1,27.9232355,21.1500784,25.91861835,31.9583333333333,21.825,2708.7130919,3105.5751604,0.14368515,0.235416575,0.314622366666667,0.835252608333333,0.558136083333333,1.25070319166667,12.7784081,0.0936683,13.5936115,0,0,0,0.0231949,0,144.3466838,0.0758007835428502,0,0,0.00193964379972539,0.399760727062418,0.871349141235864,0,0.981972895240837
2021,160101,NA,131591.8,122,0.927109439949906,0.3771127,10.84,3.63,0,28.1144242,21.229548,25.5916660583334,31.7,21.5833333333333,2945.1186616,3198.3161223,-0.0343463,0.0328928,0.152165816666667,0.829305483333333,0.5706463,1.24231049166667,12.8927302,0.7159832,12.4832506,0,0,0,0.0467716,0,148.1115191,0.0744855736972181,0,0,0.00193964379972539,0.392417647302576,0.870855514422535,0,0.982268012366083
2009,160102,18421.9078965,6290.1,293,46.5811354350487,1.7658096,1.77,1.77,0,27.2297428,20.9791531,25.0391564583334,31.5916666666667,20.9083333333333,2840.1652886,2515.9118854,-0.3774699,-0.0493214166666667,1.52479359166667,0.839905066666667,0.539324841666667,1.25719283333333,0.1052526,0.0258678,46.197696,0,0,0,0,0,73.5234743,0.0511588314850964,0,1590.68033188353,18711.9756377115,1.01186692118692,0.730763076264575,0.11,0.308231528742365
2010,160102,17750.2306681,6343.9,486,76.609025993474,2.3736912,4.14,133.9,1,27.606671,21.1335597,25.5071895833334,31.95,21.1666666666667,1872.0196308,2016.0275332,-2.23679716666667,-2.39269525833333,-1.34584955,0.835995416666667,0.527263233333333,1.25130196666667,0.1025767,0.0098131,43.9081734,0,0,0,0,0,74.4388107,0.0497990038191617,0,1590.68033188353,18711.9756377115,1.00860497996639,0.724031156049914,0.11,0.301774956070622
2011,160102,19608.2849165,5957.4,855,143.518984792023,1.1164791,5.26,27.05,1,27.1798488,20.622494,24.9620827583333,31.4916666666667,20.875,3748.7496087,2887.5756791,-3.66120253636364,-5.16572971666667,-5.06528665555556,0.834555283333333,0.523971725,1.24856501666667,0.1034687,0,44.8832566,0,0,0,0,0,71.8734906,0.0484391761532269,0,1590.68033188353,18711.9756377115,1.00657659835525,0.733347395875454,0.11,0.295318383398879
2012,160102,17657.3305701,4239.3,1782,420.352416672564,2.1108427,7.37,40.11,1,27.4160653,20.9199947,24.87079945,31.4833333333333,20.9083333333333,2633.9408676,3104.3403446,-1.54383971666667,-2.22395695,-5.45927698333333,0.840343383333333,0.531199441666667,1.25822583333333,0.1079285,0.0401466,41.7858695,0,0,0,0,0,71.6218451,0.0470793484872921,0,1590.68033188353,18711.9756377115,1.00668014487746,0.731956836079033,0.11,0.288861810727136
2013,160102,26301.697381,6522.4,1637,250.981233901631,2.2974209,9.66,31.07,1,27.5763144,20.5364442,24.9343225333334,31.5166666666667,20.8666666666667,3209.8362837,3091.5547602,-0.2440639,-1.22079916666667,-2.09843040833333,0.841780175,0.538740466666667,1.26029204166667,0.1079285,0.0321123,44.5879207,0,0,0,0,0,71.4558972,0.0457195208213573,0,1590.68033188353,18711.9756377115,1.01352956166168,0.73373331667937,0.11,0.282405238055393
2014,160102,26070.1065201,6576.4,2387,362.964539869838,1.7658298,11.43,18.32,1,27.598272,20.7892118,24.955880325,31.5083333333333,20.9666666666667,2005.9081328,2949.7481513,0.38586375,0.364622208333333,-0.406310966666667,0.836785091666667,0.547414525,1.25294376666667,0.1123884,0,44.9947686,0,0,0,0,0,73.532238,0.0443596931554225,0,1590.68033188353,18711.9756377115,1.01981850198677,0.737416563384446,0.11,0.27594866538365
2015,160102,26342.8843319,6693.8,2362,352.863844154292,1.761235,13.19,15.4,1,27.6979912,21.1805339,25.2033538916667,31.95,21.3666666666667,2390.0468079,2793.4356246,0.909106575,1.33555581666667,1.003534875,0.827236483333333,0.530182566666667,1.23799885833333,0.1195241,0.0508528,46.2685089,0,0,0,0,0,78.6357045,0.0429998654894878,0,1590.68033188353,18711.9756377115,1.01931778855619,0.744139354082992,0.11,0.269492092711907
2016,160102,19696.0347217,6680.4,1571,235.165558948566,1.6043909,14.8,12.21,1,28.1576107,20.9698571,25.4550060583334,31.9333333333333,21.35,2963.3870738,2889.434794,0.0538273833333333,0.165161966666667,0.927319691666667,0.830041058333333,0.532280758333333,1.24229743333333,0.1159563,0.0678139,46.9531414,0,0,0,0,0,76.0745426,0.041640037823553,0,1590.68033188353,18711.9756377115,1.01872163238581,0.734897814886309,0.11,0.263035520040164
2017,160102,22233.1398692,6732.1,2199,326.643989245555,2.4821982,17.28,16.76,1,27.3953195,21.3303363,25.2993491583334,31.3583333333333,21.1416666666667,3176.2635089,2874.6442056,-0.228923683333333,-0.157032483333333,0.0140019666666667,0.823949791666667,0.520937883333333,1.23145474166667,0.1159563,0.1043855,46.2263968,0,0,0,0,0,77.876303,0.0402802101576182,31.0476977358205,1590.68033188353,18711.9756377115,1.02179846822812,0.748414289685084,0.11,0.256578947368421
2018,160102,21435.8371849,5385.7,1983,368.197263122714,1.0548335,18.33,6.08,0,27.35697,21.0230992,24.9987961416667,31.3583333333333,20.9583333333333,3245.417915,2761.8745849,0.0502219416666667,0.0396527416666667,-0.0579828333333333,0.831421875,0.527843416666667,1.24468780833333,0.1159563,0.0178416,45.7649143,0,0,0,0,0,75.6341314,0.0389203824916834,68.1039856452002,1590.68033188353,18711.9756377115,1.02074164635588,0.753470201358363,0.11,0.250122374696678
2019,160102,21572.1287541,4775.5,727,152.235368024291,0.7664639,19.1,4.2,0,27.7432011,21.0359633,25.149864325,31.8083333333333,21.3833333333333,2969.1079206,3321.1505645,0.22261595,0.189173366666667,0.134957533333333,0.831979633333333,0.528814441666667,1.24437830833333,0.123092,0.0481747,45.3337493,0,0,0,0,0,79.7240605,0.0375605548257487,73.1193840350295,1590.68033188353,18711.9756377115,1.01958257131355,0.769008081738712,0.11,0.243665802024935
2020,160102,22643.9024271,2770.6,274,98.8955460910994,1.5930505,20.69,8.32,0,27.8547983,21.1558907,25.5035171083334,32.0916666666667,21.6916666666667,2973.9776433,3094.6348603,0.0114995916666667,0.110142483333333,0.174566391666667,0.840144208333333,0.534742025,1.257682,0.1257679,0.0249778,48.0750216,1645.23943309764,0,1645.23943309764,0,0,81.790631,0.0362007271598139,0,1590.68033188353,18711.9756377115,1.01933856703374,0.781983370262591,0.11,0.237209229353192
