"year","ubigeo","dep.code","dep","prov.code","prov","distr.code","distr","capital","pc1","pc2","pc3","pc4","pc5","pc6","pc7","pc8","pc9","pc10","pc11","pc12","pc13","pc14","pc15","pc16","pc17","pc18","pc19","pc20","hv2701st","hv2702nd","hv2703rd","hv2704th","hv2705th","se.hv2701st","se.hv2702nd","se.hv2703rd","se.hv2704th","se.hv2705th","hv2701st_cor","hv2702nd_cor","hv2703rd_cor","hv2704th_cor","hv2705th_cor","hv2701st_cor_logit","hv2702nd_cor_logit","hv2703rd_cor_logit","hv2704th_cor_logit","hv2705th_cor_logit","se_hv2701st_cor","se_hv2702nd_cor","se_hv2703rd_cor","se_hv2704th_cor","se_hv2705th_cor","id.sp"
2010,"160101","16","LORETO","01","MAYNAS","01","IQUITOS","IQUITOS",26.1467662011444,-2.6360476732456,5.13333639354315,5.79216834115987,-1.63677923882288,1.45125790554134,-1.26400891680949,0.744178753240947,-3.22019420303805,2.63334517433202,-1.49232779276997,1.21220087059319,-0.305737024320218,0.622133575528974,-0.51499135254879,0.240144643954329,-0.277428427447171,-0.24888572862934,0.836270493408194,-0.539650428146703,0.0488596113454867,0.246662458735457,0.309400365270959,0.299859825601903,0.0952177390461881,0.0230832259525189,0.0612111251603899,0.0487363657215279,0.0529017508177548,0.033735870553006,0.0533710152320318,0.249195834148102,0.31130636161825,0.301861227345884,0.0992655616557263,-2.8756394241848,-1.10290578337581,-0.794019012478032,-0.838450498024953,-2.20541177336966,0.208748075985135,0.107035002168133,0.0516747218084723,0.0630147050312338,0.142361678322104,1
2010,"160102","16","LORETO","01","MAYNAS","02","ALTO NANAY","SANTA MARIA DE NANAY",-3.24146609940137,1.51402167600366,-0.511714697287355,-0.388151402601828,0.655134536885436,2.04279997790151,-0.74448428911251,0.786000647912751,0.84404324265452,0.698717010224324,0.308175285928251,0.101755508162301,0.265687299927006,0.204969118322984,-0.421745523901743,0.0681746114237766,-0.510193476506024,-0.424837881923288,-0.697365210013516,-0.639664290122202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2010,"160103","16","LORETO","01","MAYNAS","03","FERNANDO LORES","TAMSHIYACU",-0.308046784662631,1.1039444225069,-0.90202460405283,-0.26020587963961,0.147180961920977,0.971464563287986,-1.38591702597486,0.0424567824728229,1.63850787095281,-0.608402804797941,-0.460701133205204,0.783273081721347,-0.11197094666782,0.174102989695664,0.18376164850014,0.210672155705819,-0.504680611774235,0.202436069725348,-1.33897425542369,-0.286301036108065,0.981075759088349,0.0189242409116562,0,0,0,0.0122683883137754,0.012268388313775,0,0,0,0.976265001497466,0.0237349985025397,0.005,0.005,0.005,3.71678337857426,-3.71678337857402,-5.29330482472449,-5.29330482472449,-5.29330482472449,0.280324572911658,0.28032457291151,1e-06,1e-06,1e-06,3
2010,"160104","16","LORETO","01","MAYNAS","04","INDIANA","INDIANA",-1.257549704165,1.44383321754053,-0.861139972101703,-0.194514022013937,0.968817350582627,0.613236354490567,-0.280789523187954,-0.204329589093826,-0.248692650561122,-0.0444819410739598,0.0989893881676912,0.664944613652304,-0.638545934335493,0.976586417878665,-0.145151455240373,0.701507908341034,-0.234746453116724,-0.401072037239959,0.0291963929338009,0.375302777298343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
2010,"160105","16","LORETO","01","MAYNAS","05","LAS AMAZONAS","FRANCISCO DE ORELLANA",-3.23187271893187,1.55686925115533,0.375831634243849,1.53882628963986,1.49326435525796,1.44520630784638,0.320336218073036,0.722145055113773,-0.78430857942947,-0.344451329602935,-0.0477176437795455,0.666409449841569,0.217611184628418,-0.56758040967762,0.800609600858295,0.0378248859238306,0.503570513575649,0.657334693130474,-0.830836460455371,0.890262463979004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
2010,"160106","16","LORETO","01","MAYNAS","06","MAZAN","MAZAN",-2.9913567741174,1.2170005225238,0.686956362695061,0.706860988297514,0.511570565622495,1.0035244098264,-0.171226245912432,0.313819893778506,1.62368179117402,-0.413344166869501,-0.853064633273348,0.683339126842745,0.276375143635772,-0.341435896026205,1.51319747773657,-0.149630458164934,0.777033143161073,-0.188105185155138,-0.422666365895263,0.132779515942071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2010,"160107","16","LORETO","01","MAYNAS","07","NAPO","SANTA CLOTILDE",-3.99286810920883,-1.74677023305839,2.58767492422375,-0.199220612130608,1.46537165741367,0.466121940052361,0.802318466312303,0.196775777052423,0.681075194574573,-0.25723904380603,-2.39348372661503,0.507872718808655,1.21883942451268,-0.287283803428673,0.499650039079419,0.446202108248577,1.88954206122303,1.46972014991943,-0.353676298019903,-0.338877560875594,0.990825688073391,0.0091743119266055,0,0,0,3.07005397666427e-15,1.95156391047391e-17,0,0,0,0.985917431192658,0.0140825688073394,0.005,0.005,0.005,4.24863483211986,-4.24863483212008,-5.29330482472449,-5.29330482472449,-5.29330482472449,1e-06,1e-06,1e-06,1e-06,1e-06,7
2010,"160108","16","LORETO","01","MAYNAS","08","PUNCHANA","PUNCHANA",16.8477082980275,-0.757355906499464,1.36087395278805,-1.22735386657374,2.32428978989788,0.432492913995024,1.09684033183414,-0.42110700019269,0.692551530387358,-1.81930596301147,1.07512945701436,-0.504435172936875,-0.507469406433967,-0.688025353660539,-0.526834557303546,-0.590916810725709,0.67608785203702,-0.782372464754648,0.565643380301769,1.03269548612576,0.320288354270273,0.223872661450188,0.113140584851003,0.212649720772569,0.130048678655961,0.210602943130168,0.135931395141459,0.0469037020883525,0.140375954866205,0.0906845118691228,0.32208547072757,0.226633934835686,0.117009179002493,0.215523223564843,0.133748191869402,-0.744204269609398,-1.22741640680211,-2.02106242057037,-1.29194829902083,-1.86821677085869,0.930329344593982,0.601477584988662,0.206092412613868,0.689345771584688,0.612635405455317,8
2010,"160110","16","LORETO","01","MAYNAS","10","TORRES CAUSANA","PANTOJA",-6.07266199908818,-2.10413202682339,5.07611956735911,1.02082169027847,-0.501380426146044,-0.215413323145278,1.43816231366542,-0.12360294523245,-0.296736153419898,-1.67470581667268,0.493810031638147,0.484434752896768,1.68780890974476,-1.17201658601104,1.24117458555949,0.273426942976798,0.259182680784352,-1.73469699509288,-1.34342102393807,0.157458877699007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
2010,"160112","16","LORETO","01","MAYNAS","12","BELEN","BELEN",14.6420849492263,-0.180920320056149,0.973396685941287,-1.3307120742164,2.46653574102024,0.726891126599094,0.833120847715197,-0.457483835306631,0.845144350785996,-2.60015175453737,0.503607527463527,-0.148673412127766,0.37124731784564,-0.401570307809625,-1.22450915672865,0.514573656680873,0.738601625636149,-0.727789480220071,0.00666069499022155,0.826799235696067,0.242912743567174,0.385376628496125,0.227424188306112,0.110791373287777,0.0334950663428163,0.199096292331556,0.215080170285213,0.0730895982878467,0.104619496651206,0.0316291501503647,0.245483616131503,0.386522862211164,0.230149946423051,0.114683459554899,0.0381601156793881,-1.12284678456857,-0.461951980055965,-1.20746472279815,-2.04376944628831,-3.2270571183918,1.15543088296355,0.822722934949844,0.17016769060009,1.06176040335463,0.742591744839046,10
