"","year","ubigeo","n","pop_landscan","malaria_incidence"
"113",2012,"160301",673,17513.7,38.4270599587751
"114",2012,"160302",13,3532.7,3.67990488861211
"115",2012,"160303",981,8198.1,119.661872872983
"116",2012,"160304",802,25948.6,30.9072551120292
"117",2012,"160305",32,5897.3,5.42621199531989
"118",2012,"160401",3313,15501.2,213.725389002142
"119",2012,"160402",770,11825.4,65.1140764794426
"120",2012,"160403",2768,9819.2,281.896692194883
"121",2012,"160404",502,15479.5,32.4299880487096
"122",2012,"160501",55,23591.6,2.33133827294461
"123",2012,"160502",206,1954.4,105.403192795743
"124",2012,"160503",2,1659.6,1.20510966497951
"125",2012,"160504",9,4232.2,2.12655356552148
"126",2012,"160505",2,4650.5,0.430061283732932
"127",2012,"160506",2,1172.8,1.70532060027285
"128",2012,"160507",8,807.7,9.90466757459453
"129",2012,"160508",448,1069.6,418.848167539267
"130",2012,"160509",6,1072.4,5.59492726594554
"131",2012,"160510",1,5959.4,0.16780212773098
"132",2012,"160511",589,4668.1,126.175531800947
"133",2012,"160601",2,30255.9,0.0661028096999263
"134",2012,"160604",3,3944.3,0.760591232918388
"135",2012,"160605",9,15198.9,0.592148115982078
"136",2012,"160606",2,6497.8,0.307796484964142
"137",2012,"160701",24,10031.7,2.39241604114956
"138",2012,"160702",5,2139.5,2.33699462491236
"139",2012,"160703",1,14492.7,0.0690002553009446
"140",2012,"160704",39,5389.3,7.23656133449613
"141",2012,"160705",1206,8404.7,143.491141861102
"142",2012,"160706",660,5811.5,113.56792566463
"143",2012,"160801",77,1878.5,40.9901517167953
"144",2013,"160101",2569,194034.1,13.2399408145269
"145",2013,"160102",1637,6522.4,250.981233901631
"146",2013,"160103",614,4689.7,130.92521909717
"147",2013,"160104",506,3891,130.043690567977
"148",2013,"160105",236,2769,85.2293246659444
"149",2013,"160106",1971,3768.5,523.019769138915
"150",2013,"160107",1772,8770.1,202.050147660802
"151",2013,"160108",3066,106087.6,28.9006443731407
"152",2013,"160110",119,2753.4,43.2192925110772
"153",2013,"160112",817,29276.1,27.9067225484269
"154",2013,"160113",7175,124713.9,57.531678505764
"155",2013,"160201",161,63763.2,2.52496737930342
"156",2013,"160202",45,2285.3,19.6910690062574
"157",2013,"160205",1,5465.9,0.182952487239064
"158",2013,"160206",195,17830.5,10.9363169849415
"159",2013,"160210",11,2210.8,4.97557445268681
"160",2013,"160211",44,4988.2,8.82081712842308
"161",2013,"160301",1359,16499.4,82.3666315138732
"162",2013,"160302",46,5691.2,8.08265392184425
"163",2013,"160303",3603,10933.7,329.531631561137
"164",2013,"160304",1082,20933.3,51.6879803948732
"165",2013,"160305",468,6667.8,70.1880680284352
"166",2013,"160401",3985,12181.1,327.146152646313
"167",2013,"160402",694,12964,53.5328602283246
"168",2013,"160403",4240,12535.7,338.234003685474
"169",2013,"160404",441,14330.5,30.7735249991277
"170",2013,"160501",64,18163.5,3.52354997660143
"171",2013,"160502",264,3344.4,78.9379260853965
"172",2013,"160503",1,1523.1,0.656555708751888
"173",2013,"160504",18,5655.3,3.1828550209538
"174",2013,"160506",7,3157.6,2.21687357486699
"175",2013,"160507",16,1238.3,12.9209399983849
"176",2013,"160508",595,1448,410.911602209945
"177",2013,"160509",104,1309.5,79.4196258113784
"178",2013,"160510",5,5931.7,0.842928671375828
"179",2013,"160511",637,4560.8,139.668479214173
"180",2013,"160601",10,28475.4,0.35118031704559
"181",2013,"160604",1,5285.4,0.189200438945018
"182",2013,"160605",4,16269.6,0.245857304420514
"183",2013,"160606",1,6030.7,0.165818230056212
"184",2013,"160701",79,10222.5,7.72805086818293
"185",2013,"160702",2,3023.6,0.661463156502183
"186",2013,"160703",17,9762.7,1.74132156063384
"187",2013,"160704",301,6780.7,44.3906971256655
"188",2013,"160705",2483,9455.8,262.590156306183
"189",2013,"160706",2116,8795.5,240.577568074584
"190",2013,"160801",156,3954.2,39.4517222194123
"191",2013,"160803",1,3589.2,0.278613618633679
"192",2014,"160101",3556,195967.8,18.1458382448545
"193",2014,"160102",2387,6576.4,362.964539869838
"194",2014,"160103",231,4747.3,48.6592378825859
"195",2014,"160104",296,3925.2,75.4101701824111
"196",2014,"160105",157,2814.3,55.7865188501581
"197",2014,"160106",1969,3822.4,515.121389702805
"198",2014,"160107",3229,8867.7,364.130496070007
"199",2014,"160108",3552,107137.3,33.1537195729218
"200",2014,"160110",550,2766.2,198.828718097028
"201",2014,"160112",655,29568.2,22.1521770009673
"202",2014,"160113",10693,125931.3,84.9113762821475
"203",2014,"160201",569,64385.4,8.83740723828694
"204",2014,"160202",54,2311.8,23.3584220088243
"205",2014,"160206",492,18001.9,27.3304484526633
"206",2014,"160210",4,2241,1.78491744756805
"207",2014,"160211",4,5033.5,0.794675672990961
"208",2014,"160301",1790,16765.5,106.766872446393
"209",2014,"160302",319,5755,55.4300608166811
"210",2014,"160303",5186,11002.3,471.355989202258
"211",2014,"160304",2749,21106.2,130.24608882698
"212",2014,"160305",2807,6708.7,418.411912889233
"213",2014,"160401",1861,12319.6,151.060099353875
"214",2014,"160402",519,13059.1,39.7424018500509
"215",2014,"160403",2631,12684.1,207.425043952665
"216",2014,"160404",240,14474.1,16.5813418450888
"217",2014,"160501",113,18318,6.16879572005678
"218",2014,"160502",441,3370.1,130.856651137948
"219",2014,"160503",6,1537.2,3.9032006245121
"220",2014,"160504",23,5719.2,4.02154147433207
"221",2014,"160505",11,5738.4,1.91691063711139
"222",2014,"160506",4,3178.1,1.25861363707876
"223",2014,"160507",15,1248.4,12.0153796859981
"224",2014,"160508",306,1462.4,209.245076586433
"225",2014,"160509",72,1337.3,53.8398265161146
"226",2014,"160510",12,5980.2,2.00662185211197
"227",2014,"160511",584,4659.1,125.346096885665
"228",2014,"160601",9,28767.9,0.312848695942352
"229",2014,"160603",1,5379.1,0.18590470524809
"230",2014,"160604",4,5311.2,0.753125470703419
"231",2014,"160605",1,16437.6,0.0608361317953959
"232",2014,"160606",1,6094.5,0.164082369349413
"233",2014,"160701",137,10299.1,13.3021331961045
"234",2014,"160702",3,3050.9,0.983316398439805
"235",2014,"160703",170,9847.3,17.263615407269
"236",2014,"160704",831,6829.5,121.678014495937
"237",2014,"160705",3705,9579.8,386.751289170964
"238",2014,"160706",7028,8914.7,788.360797334739
"239",2014,"160801",1108,3980.8,278.336012861736
"240",2014,"160803",7,3665.2,1.90985485103132
"241",2015,"160101",1972,197757.5,9.97180890737393
"242",2015,"160102",2362,6693.8,352.863844154292
"243",2015,"160103",179,4763.3,37.5789893561187
"244",2015,"160104",217,3964.3,54.7385414827334
"245",2015,"160105",158,2841.5,55.6044342776702
"246",2015,"160106",1685,3875.9,434.737738331742
"247",2015,"160107",4349,8904.3,488.415709264063
"248",2015,"160108",1869,108114,17.2873078417226
"249",2015,"160110",1179,2816.7,418.57492810736
"250",2015,"160112",618,29834.5,20.7142737434849
"251",2015,"160113",8017,127094.3,63.0791467437957
"252",2015,"160201",245,64516.5,3.79747816450055
"253",2015,"160202",457,2311.2,197.73277950848
"254",2015,"160205",18,6443.4,2.79355619703883
"255",2015,"160206",328,18031.6,18.1902881607844
"256",2015,"160210",3,2265.2,1.32438636764966
"257",2015,"160211",6,5030.3,1.19277180287458
"258",2015,"160301",3297,16894.3,195.154578763252
"259",2015,"160302",139,5833.9,23.8262568779033
"260",2015,"160303",4779,11175.7,427.624220406775
"261",2015,"160304",3773,21277.4,177.324297141568
"262",2015,"160305",2008,6773.2,296.462528789937
"263",2015,"160401",4362,12715.7,343.040493248504
"264",2015,"160402",846,12956.9,65.2933957968341
"265",2015,"160403",2844,12855.5,221.228268056474
"266",2015,"160404",369,14335.2,25.7408337518835
"267",2015,"160501",95,16823.9,5.64672876086995
"268",2015,"160502",275,3052.7,90.0841877682052
"269",2015,"160503",4,1429.8,2.79759406910057
"270",2015,"160504",2,5250.4,0.380923358220326
"271",2015,"160505",5,5270.7,0.948640598023033
"272",2015,"160506",7,2974.5,2.3533366952429
"273",2015,"160507",39,1137.4,34.2887286794443
"274",2015,"160508",254,4150.2,61.2018697894077
"275",2015,"160509",23,1230.5,18.6915887850467
"276",2015,"160510",24,5487,4.37397484964461
"277",2015,"160511",656,5675.2,115.590639977446
"278",2015,"160601",5,27797.6,0.179871643595131
"279",2015,"160602",1,1025.7,0.974943940723408
"280",2015,"160604",1,5191.4,0.192626266517702
"281",2015,"160605",1,18855.1,0.0530360486022349
"282",2015,"160606",1,5871.3,0.170320031338886
"283",2015,"160701",320,11494.3,27.839885856468
"284",2015,"160702",299,3012.4,99.2564068516797
"285",2015,"160703",362,9702.5,37.3099716567895
"286",2015,"160704",421,6724.9,62.6031613852994
"287",2015,"160705",2332,9422.6,247.490077048798
"288",2015,"160706",7789,8761,889.053760986189
"289",2015,"160801",1104,4136.3,266.905205135024
"290",2015,"160802",1,2177.6,0.459221160911095
"291",2015,"160803",195,3694.1,52.7868763704285
"292",2016,"160101",2378,198547.7,11.9769707732701
"293",2016,"160102",1571,6680.4,235.165558948566
"294",2016,"160103",105,4770.6,22.0098100867815
"295",2016,"160104",103,3957.1,26.0291627707159
"296",2016,"160105",31,2827.4,10.9641366626583
"297",2016,"160106",1055,3897.9,270.658559737294
"298",2016,"160107",4470,8978.7,497.84489959571
"299",2016,"160108",1553,108551.4,14.3065865571517
"300",2016,"160110",1547,2808.2,550.886688982266
"301",2016,"160112",483,29958.5,16.1223025184839
"302",2016,"160113",6922,127599,54.2480740444674
"303",2016,"160201",324,64148,5.05081997879903
"304",2016,"160202",793,2283.5,347.273921611561
"305",2016,"160205",95,7698.7,12.3397456713471
"306",2016,"160206",182,18053.6,10.0810918597953
"307",2016,"160210",5,2226.4,2.24577793747754
"308",2016,"160211",68,5244.1,12.966953338037
"309",2016,"160301",1122,16252.4,69.0359577662376
"310",2016,"160302",95,5572.7,17.0473917490624
"311",2016,"160303",6136,10995.3,558.056624193974
"312",2016,"160304",3608,20805.4,173.416516865814
"313",2016,"160305",2762,9085.8,303.990842853684
"314",2016,"160401",1296,13583.6,95.4091698813275
"315",2016,"160402",170,12638.1,13.4513890537343
"316",2016,"160403",903,13083.6,69.0177015500321
"317",2016,"160404",117,14033.1,8.33743078863544
"318",2016,"160501",38,14915.8,2.54763405248126
"319",2016,"160502",42,2525.9,16.6277366483234
"320",2016,"160503",5,1295.3,3.86010962711341
"321",2016,"160504",3,4770.7,0.628838535225439
"322",2016,"160505",2,4639.6,0.431071644107251
"323",2016,"160506",6,2638.2,2.27427791676143
"324",2016,"160507",19,1023.2,18.5691946833464
"325",2016,"160508",332,7552.5,43.9589539887454
"326",2016,"160509",11,1135.6,9.68650933427263
"327",2016,"160510",13,4879.5,2.66420739829901
"328",2016,"160511",291,7557.8,38.5032681468152
"329",2016,"160601",1,26673.6,0.0374902525343411
"330",2016,"160604",1,5039.3,0.19844025955986
"331",2016,"160605",2,21217.6,0.0942613679209713
"332",2016,"160701",378,12918.5,29.2603630452452
"333",2016,"160702",573,2846.5,201.299841911119
"334",2016,"160703",230,10675.6,21.5444565176665
"335",2016,"160704",313,6360.7,49.208420456868
"336",2016,"160705",3639,8900.5,408.85343520027
"337",2016,"160706",10097,8311.8,1214.77898890734
"338",2016,"160801",270,5343,50.5334081976418
"339",2016,"160802",129,2187.4,58.9741245314071
"340",2016,"160803",124,3798.6,32.6436055388828
"341",2016,"160804",110,5209.1,21.1168915935574
"342",2017,"160101",1639,200457.2,8.17630895772265
"343",2017,"160102",2199,6732.1,326.643989245555
"344",2017,"160103",101,4821.1,20.949575822945
"345",2017,"160104",134,3999.1,33.5075391963192
"346",2017,"160105",55,2872.3,19.1484176443965
"347",2017,"160106",1349,3905.9,345.374945595125
"348",2017,"160107",4143,9128.9,453.83343009563
"349",2017,"160108",1743,109576.3,15.9067243555404
"350",2017,"160110",2832,2835.1,998.906564142358
"351",2017,"160112",447,30240.5,14.7815016286106
"352",2017,"160113",3350,128826.9,26.0038858344026
"353",2017,"160201",157,64748.4,2.4247703418154
"354",2017,"160202",1715,2308.7,742.842292199073
"355",2017,"160205",66,7791.8,8.470443286532
"356",2017,"160206",220,18230.3,12.0678211548905
"357",2017,"160210",10,2254.5,4.43557329784875
"358",2017,"160211",29,5287.8,5.48432240251144
"359",2017,"160301",432,16487.6,26.2015090128339
"360",2017,"160302",59,5649.4,10.4435869295854
"361",2017,"160303",3985,11050.2,360.626956978154
"362",2017,"160304",3298,20957,157.369852555232
"363",2017,"160305",2527,9168.3,275.623616155667
"364",2017,"160401",1250,13689.3,91.3121927344715
"365",2017,"160402",97,12766.9,7.59777236447376
"366",2017,"160403",1803,13278.5,135.783409270625
