"iddist","year","nls_year","nls_year_norm"
160506,"2011",0.0070843,0.00147140865003766
160506,"2012",0.0041667,0.00086542331946867
160506,"2013",0.020472,0.00425203307081446
160605,"2010",0,0
160605,"2011",0,0
160605,"2012",0,0
160605,"2013",0,0
160112,"2010",2.661261,0.552743736912308
160112,"2011",3.0725127,0.638160688300969
160112,"2012",1.8731427,0.389051617172464
160112,"2013",1.8505599,0.384361171078698
160104,"2010",0.0158691,0.00329601103966695
160104,"2011",0,0
160104,"2012",0.0197634,0.00410485689682173
160104,"2013",0.0146765,0.00304830809709889
160108,"2010",0.9721776,0.201921224399425
160108,"2011",0.5743832,0.119299353347022
160108,"2012",1.0409465,0.216204520464467
160108,"2013",0.9056653,0.188106624007869
160301,"2010",0.0677364,0.0140688458820788
160301,"2011",0.0569748,0.0118336622607972
160301,"2012",0.0619679,0.0128707288066102
160301,"2013",0.0519205,0.0107838844789577
160103,"2010",0.0367573,0.00763448882345879
160103,"2011",0.0170587,0.00354309088242979
160103,"2012",0.0341131,0.00708528865513877
160103,"2013",0.0471154,0.00978586552093844
160404,"2010",0.0161409,0.00335246388201979
160404,"2011",0.0048085,0.000998725137798522
160404,"2012",0.01393,0.00289326009556689
160404,"2013",0.0099181,0.00205998872604752
160401,"2010",0.0504057,0.0104692606173091
160401,"2011",0.0403071,0.00837178205298093
160401,"2012",0.0409615,0.0085077008904927
160401,"2013",0.04018,0.00834538339123315
160705,"2010",0,0
160705,"2011",0,0
160705,"2012",0.0019622,0.000407548812600241
160705,"2013",0.0023055,0.000478852200310802
160105,"2010",0.0091148,0.00189314336820338
160105,"2011",0,0
160105,"2012",0,0
160105,"2013",0,0
160402,"2010",0,0
160402,"2011",0,0
160402,"2012",0,0
160402,"2013",0.0075837,0.00157513399761311
160704,"2010",0.0115724,0.00240358672863879
160704,"2011",0.0134283,0.00278905703814077
160704,"2012",0.0169862,0.003528032637137
160704,"2013",0.0120618,0.00250523507686351
160804,"2010",0,0
160804,"2011",0,0
160804,"2012",0,0
160804,"2013",0,0
160802,"2010",0,0
160802,"2011",0,0
160802,"2012",0,0
160802,"2013",0,0
160101,"2014",1.30859415,0.760811187188287
160101,"2015",0.988167666666667,0.578563915494477
160101,"2016",1.34286683333333,0.780304279538673
160101,"2017",1.469285975,0.85220702433975
160101,"2018",1.45397013333333,0.843495914295388
160101,"2019",1.30634136666667,0.759529883558368
160101,"2020",1.72913504166667,1
160102,"2014",0.0103167,0.0223968067578195
160102,"2015",0.000739825000000002,0.0169498183505379
160102,"2016",-0.00739996666666666,0.0123201922098584
160102,"2017",0.160289125,0.107695827616596
160102,"2018",0.186763175,0.122753332642379
160102,"2019",0.12151645,0.0856432988695579
160102,"2020",0.21268965,0.137499396339219
160103,"2014",0.0307675666666667,0.0340285377402322
160103,"2015",0.00790173333333333,0.0210232589734634
160103,"2016",-0.01290595,0.00918858326776069
160103,"2017",0.130840175,0.0909463044938018
160103,"2018",0.175275175,0.116219363803603
160103,"2019",0.107233133333333,0.0775194525939341
160103,"2020",0.223280333333333,0.143523003135993
160104,"2014",0.0281581916666667,0.0325444173590796
160104,"2015",-0.00727486666666667,0.0123913446734492
160104,"2016",-0.01667585,0.00704439723665861
160104,"2017",0.14333135,0.0980508438574591
160104,"2018",0.192864766666667,0.126223702577697
160104,"2019",0.105487558333333,0.0765266311580231
160104,"2020",0.23598185,0.150747177413952
160105,"2014",-0.000635774999999988,0.0161674256333879
160105,"2015",-0.00240283333333334,0.0151623852359036
160105,"2016",-0.0171183916666667,0.00679269515972095
160105,"2017",0.142126258333333,0.097365430260848
160105,"2018",0.19881725,0.129609264956991
160105,"2019",0.100747158333333,0.0738304589885129
160105,"2020",0.225171883333333,0.144598849998544
160106,"2014",0.0065345,0.0202456249209447
160106,"2015",-0.001915225,0.0154397196418513
160106,"2016",-0.0133704166666667,0.00892441102484199
160106,"2017",0.168165758333333,0.112175778587563
160106,"2018",0.205351166666667,0.133325526089926
160106,"2019",0.109112125,0.0785881567198324
160106,"2020",0.211539875,0.136845444909762
160107,"2014",0.0169038416666667,0.0261433403917506
160107,"2015",0.00827436666666666,0.0212351996583772
160107,"2016",0.002472725,0.0179354306939149
160107,"2017",0.171819058333333,0.114253646654998
160107,"2018",0.202978116666667,0.131975819025785
160107,"2019",0.125748041666667,0.0880500788215446
160107,"2020",0.200178133333333,0.130383287353684
160108,"2014",0.171189625,0.113895647195903
160108,"2015",0.125875491666667,0.0881225678821732
160108,"2016",0.132704558333333,0.0920066999154185
160108,"2017",0.29958005,0.186919588364703
160108,"2018",0.349337758333333,0.215220016266765
160108,"2019",0.269057283333333,0.169559316230892
160108,"2020",0.416025825,0.253149834295856
160110,"2014",0.00842365833333333,0.0213201114879288
160110,"2015",0.01579595,0.0255132107236849
160110,"2016",0.000726225000000004,0.0169420831506591
160110,"2017",0.175117875,0.11612989711677
160110,"2018",0.19628165,0.128167105191358
160110,"2019",0.121280758333333,0.0855092457701882
160110,"2020",0.206781841666667,0.134139243522762
160112,"2014",0.357254033333333,0.219722514018261
160112,"2015",0.311060433333333,0.19344922511237
160112,"2016",0.395830083333333,0.241663209406758
160112,"2017",0.494932175,0.298028980542508
160112,"2018",0.581531233333333,0.347283467713235
160112,"2019",0.439820008333333,0.266683125769056
160112,"2020",0.705225458333333,0.417636376112131
160113,"2014",0.1593245,0.107147182970783
160113,"2015",0.117957533333333,0.0836191127101046
160113,"2016",0.135008833333333,0.0933172901875259
