"year","ubigeo","index","estimate","se"
2010,"160101","edu",0.836596375698684,0.0128900865291935
2010,"160103","edu",0.710963628712391,0.00749619481693725
2010,"160107","edu",0.623853211009175,9.38485400503453e-16
2010,"160108","edu",0.844900108991454,0.0224566252860838
2010,"160112","edu",0.814759836407331,0.0399624057267799
2010,"160113","edu",0.769934602793058,0.0110975594705073
2010,"160201","edu",0.7979797979798,2.45289899503121e-15
2010,"160206","edu",0.767676767676766,1.3392065234541e-15
2010,"160301","edu",0.784062838422017,0.0422018739877448
2010,"160302","edu",0.696969696969694,2.49366499671666e-15
2010,"160305","edu",0.655172413793103,6.01081684425963e-16
2010,"160403","edu",0.752293577981653,1.59074142747073e-15
2010,"160404","edu",0.584158415841584,3.17454396103756e-16
2010,"160501","edu",0.701196225008785,0.0180764899706537
2010,"160504","edu",0.712121212121212,2.84494650060196e-16
2010,"160601","edu",0.818181818181821,2.88484514054943e-15
2010,"160604","edu",0.809523809523812,2.46937886805299e-15
2010,"160606","edu",0.767441860465118,1.28976690438875e-15
2010,"160704","edu",0.652173913043479,4.66640615037761e-16
2011,"160101","edu",0.870067958932899,0.0155679625611708
2011,"160103","edu",0.677083333333333,3.67761376907083e-16
2011,"160104","edu",0.762376237623763,5.759281940243e-16
2011,"160107","edu",0.758620689655172,2.78423117894278e-16
2011,"160108","edu",0.848621723128461,0.0147747382971073
2011,"160112","edu",0.775551997560236,0.0287857641761955
2011,"160113","edu",0.822149137184526,0.0223421032926224
2011,"160201","edu",0.780261298774681,0.0389277505885178
2011,"160202","edu",0.578947368421054,1.56125112837913e-15
2011,"160206","edu",0.771428571428571,8.25728374564961e-16
2011,"160302","edu",0.745614035087721,1.5478070214403e-15
2011,"160401","edu",0.765971760320312,0.0362301108397584
2011,"160403","edu",0.726415094339622,3.69496100383059e-16
2011,"160501","edu",0.667831875326522,0.025649875922914
2011,"160504","edu",0.706477823815841,0.000425497016418437
2011,"160601","edu",0.795936018327258,0.0449248569981199
2011,"160604","edu",0.85135135135135,1.48926010412609e-15
2011,"160605","edu",0.728070175438596,7.1947656166138e-16
2011,"160606","edu",0.756302521008404,4.96130914129367e-16
2011,"160704","edu",0.583333333333333,1.37043154602168e-16
2012,"160101","edu",0.850090330173005,0.0198321830236079
2012,"160106","edu",0.768518518518521,2.7079033459998e-15
2012,"160107","edu",0.666666666666665,1.73645819945279e-15
2012,"160108","edu",0.801782549787455,0.0223516231684723
2012,"160112","edu",0.751537927588577,0.0087462289038522
2012,"160113","edu",0.771902916886167,0.0220520040045122
2012,"160201","edu",0.772652936282469,0.0105557127304305
2012,"160205","edu",0.539568345323741,4.0766001685455e-16
2012,"160206","edu",0.731707317073168,2.63851440696072e-15
2012,"160211","edu",0.701923076923075,1.84401105496334e-15
2012,"160301","edu",0.811320754716981,3.99636920778158e-16
2012,"160304","edu",0.79591836734694,1.09634523681734e-15
2012,"160401","edu",0.717171717171716,1.02869102125425e-15
2012,"160402","edu",0.680672268907564,7.11236625150492e-16
2012,"160404","edu",0.831683168316832,6.17995238316737e-16
2012,"160501","edu",0.761006289308177,8.38738800634787e-16
2012,"160506","edu",0.784482758620693,3.51238135798404e-15
2012,"160507","edu",0.754901960784314,2.34187669256869e-17
2012,"160510","edu",0.666666666666666,9.10729824887824e-16
2012,"160601","edu",0.778363296357665,0.0394779190668038
2012,"160701","edu",0.816666666666666,3.5301622736128e-16
2012,"160702","edu",0.658536585365851,2.16666962149503e-15
2012,"160703","edu",0.622222222222224,1.68962066560141e-15
2012,"160704","edu",0.745614035087719,2.65412691824451e-16
2013,"160101","edu",0.857122260731946,0.0107876226736393
2013,"160103","edu",0.780952380952379,2.07646400074424e-15
2013,"160105","edu",0.65873015873016,1.1293049828609e-15
2013,"160106","edu",0.761904761904762,2.07299455379229e-16
2013,"160108","edu",0.810460046112237,0.0171493427769028
2013,"160112","edu",0.795073206737438,0.031461689811835
2013,"160113","edu",0.787443547741138,0.016022073720413
2013,"160201","edu",0.832626447016193,0.00848672969175687
2013,"160202","edu",0.714285714285714,7.65013052905772e-16
2013,"160205","edu",0.716666666666665,1.74513181683267e-15
2013,"160206","edu",0.861788617886175,3.84718298884756e-15
2013,"160211","edu",0.676190476190476,1.66533453693773e-16
2013,"160301","edu",0.766546361738626,0.0198420013632888
2013,"160401","edu",0.699115044247788,8.62157567560474e-16
2013,"160404","edu",0.718446601941748,3.05311331771918e-16
2013,"160501","edu",0.789585830376685,0.00972805451625685
