"model","CPO","var"
"modelo2",4601.69728480375,"wi"
"modelo6",4603.91780024516,"wi"
"modelo4",4605.18056599817,"wi"
"modelo8",4606.69659370408,"wi"
"modelo10",4607.58705178719,"wi"
"modelo1",4616.386455126,"wi"
"modelo3",4618.94872256617,"wi"
"modelo5",4619.74942220979,"wi"
"modelo7",4622.22426459476,"wi"
"modelo9",4623.63452506537,"wi"
