"year","ubigeo","enfermedad","n","pop_landscan","malaria_incidence"
2011,"160303",0,658,9895.7,66.4935274917388
2011,"160303",1,41,9895.7,4.14321371909011
2011,"160304",0,190,21488.2,8.84206215504323
2011,"160304",1,6,21488.2,0.279223015422418
2011,"160305",0,7,6443.8,1.08631552810453
2011,"160401",0,264,12120.9,21.7805608494419
2011,"160401",1,7,12120.9,0.577514871007928
2011,"160402",0,136,12627.2,10.7704004054739
2011,"160402",1,5,12627.2,0.395970603142423
2011,"160403",0,710,12142,58.4747158622962
2011,"160403",1,135,12142,11.1184318893098
2011,"160404",0,55,14648.7,3.7545993842457
2011,"160404",1,10,14648.7,0.682654433499218
2011,"160501",0,12,17845.1,0.672453502642182
2011,"160501",1,7,17845.1,0.392264543207939
2011,"160502",0,36,3651.1,9.86004217906932
2011,"160503",0,1,1397.5,0.715563506261181
2011,"160504",0,18,4302.5,4.1836141778036
2011,"160504",1,3,4302.5,0.697269029633934
2011,"160505",0,2,5622,0.355745286374956
2011,"160505",1,2,5622,0.355745286374956
2011,"160507",0,3,1362.5,2.20183486238532
2011,"160508",0,164,1547.9,105.949996769817
2011,"160508",1,94,1547.9,60.727437172944
2011,"160509",0,1,1165.1,0.858295425285383
2011,"160510",0,3,5942.3,0.504855022466048
2011,"160510",1,1,5942.3,0.168285007488683
2011,"160511",0,460,4599.1,100.019569046118
2011,"160511",1,194,4599.1,42.1821660759714
2011,"160601",0,5,27542.9,0.18153498723809
2011,"160604",0,3,5172.4,0.580001546670791
2011,"160605",0,24,15574,1.54102992166431
2011,"160605",1,1,15574,0.0642095800693464
2011,"160606",0,2,6048.4,0.330665961245949
2011,"160701",0,24,10100.5,2.3761199940597
2011,"160702",0,5,3106,1.60978750804894
2011,"160703",0,4,9633,0.415239281636043
2011,"160704",0,5,6199.9,0.806464620397103
2011,"160705",0,643,9223.3,69.7147441804994
2011,"160705",1,12,9223.3,1.30105276853187
2011,"160706",0,188,7881.5,23.8533274122946
2011,"160706",1,2,7881.5,0.253758802258453
2011,"160801",0,62,3747.1,16.5461290064316
2011,"160801",1,22,3747.1,5.87120706679832
2011,"160803",0,1,3429.2,0.291613204245888
2012,"160101",0,776,181439.5,4.27690772957377
2012,"160101",1,139,181439.5,0.766095585580869
2012,"160102",0,1112,4239.3,262.307456419692
2012,"160102",1,670,4239.3,158.044960252872
2012,"160103",0,188,3301.3,56.9472631993457
2012,"160103",1,24,3301.3,7.26986338715052
2012,"160104",0,332,1842.1,180.229086368818
2012,"160104",1,209,1842.1,113.457467021334
2012,"160105",0,329,1284,256.230529595016
2012,"160105",1,13,1284,10.1246105919003
2012,"160106",0,1052,1186.4,886.716115981119
2012,"160106",1,448,1186.4,377.612946729602
2012,"160107",0,560,4047.5,138.357010500309
2012,"160107",1,122,4047.5,30.142063001853
2012,"160108",0,1305,62229.1,20.9708962527178
2012,"160108",1,301,62229.1,4.83696534258088
2012,"160110",0,23,1449.7,15.8653514520246
2012,"160112",0,408,29986.8,13.605986634119
2012,"160112",1,66,29986.8,2.20096842610749
2012,"160113",0,3272,132073.9,24.7740090964225
2012,"160113",1,340,132073.9,2.57431634865026
2012,"160201",0,80,78659.7,1.01703922084625
2012,"160201",1,9,78659.7,0.114416912345203
2012,"160202",0,10,1792.5,5.57880055788006
2012,"160205",0,1,4681,0.21362956633198
2012,"160206",0,134,12945.1,10.3514070961213
2012,"160210",0,4,1884,2.12314225053079
2012,"160210",1,2,1884,1.06157112526539
2012,"160211",0,9,4140.7,2.17354553577897
2012,"160301",0,519,17513.7,29.6339437126364
2012,"160301",1,154,17513.7,8.79311624613874
2012,"160302",0,8,3532.7,2.26455685453053
2012,"160302",1,5,3532.7,1.41534803408158
2012,"160303",0,948,8198.1,115.636549932301
2012,"160303",1,33,8198.1,4.02532294068138
2012,"160304",0,799,25948.6,30.7916419382934
2012,"160304",1,3,25948.6,0.11561317373577
2012,"160305",0,21,5897.3,3.56095162192868
2012,"160305",1,11,5897.3,1.86526037339121
2012,"160401",0,3171,15501.2,204.564807885841
2012,"160401",1,142,15501.2,9.16058111630067
2012,"160402",0,704,11825.4,59.5328699240618
2012,"160402",1,66,11825.4,5.58120655538079
2012,"160403",0,2406,9819.2,245.030145021998
2012,"160403",1,362,9819.2,36.8665471728858
2012,"160404",0,380,15479.5,24.5485965308957
2012,"160404",1,122,15479.5,7.88139151781388
2012,"160501",0,47,23591.6,1.99223452415266
2012,"160501",1,8,23591.6,0.339103748791943
2012,"160502",0,197,1954.4,100.798198935735
2012,"160502",1,9,1954.4,4.60499386000819
2012,"160503",0,2,1659.6,1.20510966497951
2012,"160504",0,6,4232.2,1.41770237701432
2012,"160504",1,3,4232.2,0.70885118850716
2012,"160505",0,2,4650.5,0.430061283732932
2012,"160506",0,2,1172.8,1.70532060027285
2012,"160507",0,8,807.7,9.90466757459453
2012,"160508",0,304,1069.6,284.218399401646
2012,"160508",1,144,1069.6,134.629768137622
2012,"160509",0,5,1072.4,4.66243938828795
2012,"160509",1,1,1072.4,0.93248787765759
2012,"160510",1,1,5959.4,0.16780212773098
2012,"160511",0,551,4668.1,118.035174910563
2012,"160511",1,38,4668.1,8.14035689038367
2012,"160601",0,2,30255.9,0.0661028096999263
2012,"160604",0,3,3944.3,0.760591232918388
2012,"160605",0,7,15198.9,0.460559645763838
2012,"160605",1,2,15198.9,0.13158847021824
2012,"160606",0,2,6497.8,0.307796484964142
2012,"160701",0,22,10031.7,2.19304803772043
2012,"160701",1,2,10031.7,0.19936800342913
2012,"160702",0,5,2139.5,2.33699462491236
2012,"160703",0,1,14492.7,0.0690002553009446
2012,"160704",0,38,5389.3,7.05100847976546
