"year","ubigeo","index","estimate","se"
2010,"160101","edu",0.836596375698684,0.0128900865291935
2010,"160103","edu",0.710963628712391,0.00749619481693725
2010,"160107","edu",0.623853211009175,9.38485400503453e-16
2010,"160108","edu",0.844900108991454,0.0224566252860838
2010,"160112","edu",0.814759836407331,0.0399624057267799
2010,"160113","edu",0.769934602793058,0.0110975594705073
2010,"160201","edu",0.7979797979798,2.45289899503121e-15
2010,"160206","edu",0.767676767676766,1.3392065234541e-15
2010,"160301","edu",0.784062838422017,0.0422018739877448
2010,"160302","edu",0.696969696969694,2.49366499671666e-15
2010,"160305","edu",0.655172413793103,6.01081684425963e-16
2010,"160403","edu",0.752293577981653,1.59074142747073e-15
2010,"160404","edu",0.584158415841584,3.17454396103756e-16
2010,"160501","edu",0.701196225008785,0.0180764899706537
2010,"160504","edu",0.712121212121212,2.84494650060196e-16
2010,"160601","edu",0.818181818181821,2.88484514054943e-15
2010,"160604","edu",0.809523809523812,2.46937886805299e-15
2010,"160606","edu",0.767441860465118,1.28976690438875e-15
2010,"160704","edu",0.652173913043479,4.66640615037761e-16
2012,"160101","edu",0.850090330173005,0.0198321830236079
2012,"160106","edu",0.768518518518521,2.7079033459998e-15
2012,"160107","edu",0.666666666666665,1.73645819945279e-15
2012,"160108","edu",0.801782549787455,0.0223516231684723
2012,"160112","edu",0.751537927588577,0.0087462289038522
2012,"160113","edu",0.771902916886167,0.0220520040045122
2012,"160201","edu",0.772652936282469,0.0105557127304305
2012,"160205","edu",0.539568345323741,4.0766001685455e-16
2012,"160206","edu",0.731707317073168,2.63851440696072e-15
2012,"160211","edu",0.701923076923075,1.84401105496334e-15
2012,"160301","edu",0.811320754716981,3.99636920778158e-16
2012,"160304","edu",0.79591836734694,1.09634523681734e-15
2012,"160401","edu",0.717171717171716,1.02869102125425e-15
2012,"160402","edu",0.680672268907564,7.11236625150492e-16
2012,"160404","edu",0.831683168316832,6.17995238316737e-16
2012,"160501","edu",0.761006289308177,8.38738800634787e-16
2012,"160506","edu",0.784482758620693,3.51238135798404e-15
2012,"160507","edu",0.754901960784314,2.34187669256869e-17
2012,"160510","edu",0.666666666666666,9.10729824887824e-16
2012,"160601","edu",0.778363296357665,0.0394779190668038
2012,"160701","edu",0.816666666666666,3.5301622736128e-16
2012,"160702","edu",0.658536585365851,2.16666962149503e-15
2012,"160703","edu",0.622222222222224,1.68962066560141e-15
2012,"160704","edu",0.745614035087719,2.65412691824451e-16
2014,"160101","edu",0.852965610780047,0.0284544325149061
2014,"160103","edu",0.736263736263736,1.37910516340156e-16
2014,"160104","edu",0.726415094339622,7.25114412958306e-16
2014,"160105","edu",0.743589743589744,9.88792381306781e-17
2014,"160108","edu",0.80019508901083,0.0228649120448238
2014,"160112","edu",0.820663198437453,0.0182543489591238
2014,"160113","edu",0.801569792683448,0.0216334117195445
2014,"160201","edu",0.813507016785868,0.0204326683061036
2014,"160202","edu",0.640350877192982,5.23886489744995e-16
2014,"160301","edu",0.766748265600163,0.043375561206426
2014,"160303","edu",0.6375,1.47451495458029e-16
2014,"160402","edu",0.771186440677967,4.91794105439424e-16
2014,"160403","edu",0.776595744680851,3.65159291693118e-16
2014,"160404","edu",0.794642857142855,2.07386191553027e-15
2014,"160501","edu",0.817866281339869,0.0270234236676356
2014,"160504","edu",0.729729729729728,1.37173258862866e-15
2014,"160505","edu",0.741007194244603,8.21391565875018e-16
2014,"160601","edu",0.725490196078431,4.01588484688631e-16
2014,"160605","edu",0.653225806451612,7.97972798949332e-16
2014,"160606","edu",0.844444444444444,6.74373751285985e-16
2014,"160703","edu",0.769230769230767,2.11289319373975e-15
2014,"160706","edu",0.586538461538462,6.40112962635441e-16
2014,"160803","edu",0.717557251908398,1.28022592527088e-15
2016,"160101","edu",0.84764817715217,0.00779943596342648
2016,"160104","edu",0.675125942127425,0.00403708251808165
2016,"160105","edu",0.711000842226616,0.0566687929577722
2016,"160106","edu",0.703215246087094,0.0319186433892137
2016,"160107","edu",0.73208017201515,0.0159764640569522
2016,"160108","edu",0.822450656780004,0.0164502902081438
2016,"160112","edu",0.795221780836565,0.0137119863381083
2016,"160113","edu",0.818659733667557,0.0122524686434286
2016,"160201","edu",0.785733075574444,0.0206006547771095
2016,"160202","edu",0.634322298850286,0.0648773371344591
2016,"160206","edu",0.872418317139944,1.40664389858269e-15
2016,"160301","edu",0.72900798227058,0.0334215330668074
2016,"160303","edu",0.683283553853709,3.46944695195361e-16
2016,"160304","edu",0.584560820037231,6.07153216591884e-16
