"year","ubigeo","wi_estimate","lower","upper","modelo","pop_landscan","wi_estimate_prop","lower_prop","upper_prop"
2010,"160101",63299.5140465108,59689.0401500685,67002.9338036558,"modelo_fh8_spatial",182719.4,0.346430176798473,0.326670513093128,0.366698521359285
2010,"160102",6339.84459444294,5783.44027308555,6927.10913154872,"modelo_fh8_spatial",6343.9,0.999360739362685,0.911653757638921,1.09193227061409
2010,"160103",5195.12437833254,4903.49013135106,5495.03436485155,"modelo_fh8_spatial",5345.8,0.971814205232619,0.917260303668499,1.02791618931714
2010,"160104",2760.25595550977,2607.52783411786,2913.77246256866,"modelo_fh8_spatial",2837.4,0.972811713367792,0.918984927792296,1.02691635390451
2010,"160105",3139.13652955432,2962.4288708922,3319.5685444761,"modelo_fh8_spatial",3206,0.979144269979514,0.92402647251784,1.03542375061638
2010,"160106",2914.61829731071,2750.39514447616,3081.20686440782,"modelo_fh8_spatial",2954,0.98666834709232,0.931074862720432,1.0430625810453
2010,"160107",8613.12066275252,8116.8826208247,9130.94781800527,"modelo_fh8_spatial",8745.7,0.984840625993633,0.928099822864345,1.04404996947131
2010,"160108",40075.993087047,37956.5152941748,42192.937519762,"modelo_fh8_spatial",65237,0.614313856968392,0.581824965804295,0.646763914952588
2010,"160110",2601.24185522758,2399.74738500353,2812.4238362077,"modelo_fh8_spatial",2647.8,0.982416290968947,0.906317465444343,1.06217381834266
2010,"160112",21327.0438905893,20201.7780023762,22490.4708991802,"modelo_fh8_spatial",28935.3,0.737059712205829,0.698170677420873,0.777267590077869
2010,"160113",88541.2515679526,83853.3051882905,93312.9825191524,"modelo_fh8_spatial",130827.9,0.676776525251514,0.640943599861272,0.713249868867057
2010,"160201",50729.9488961053,48151.1524834009,53375.4259181606,"modelo_fh8_spatial",73166.6,0.693348452656065,0.658102911484213,0.729505346950119
2010,"160202",3135.24165647791,2953.71489195632,3320.21101502728,"modelo_fh8_spatial",3186.3,0.983975663458528,0.92700464236146,1.04202712080698
2010,"160205",5088.04754986236,4676.24881933915,5523.33970426868,"modelo_fh8_spatial",5150.2,0.987932031739032,0.907974218348637,1.07245149785808
2010,"160206",12282.0029705244,11612.4466716736,12976.0785504983,"modelo_fh8_spatial",12850.8,0.955738395315812,0.903636090490364,1.00974869661798
2010,"160210",2162.95922874849,2012.37621531965,2318.4312327555,"modelo_fh8_spatial",2213.1,0.977343648614382,0.909301981528017,1.04759442987461
2010,"160211",4341.98547096165,4062.21779767246,4634.73909732774,"modelo_fh8_spatial",4468.4,0.971709218279843,0.909098961076103,1.03722565064178
2010,"160301",17608.5157292431,16717.3152181272,18517.0507312193,"modelo_fh8_spatial",18767.1,0.938265141084295,0.890777755653631,0.986676190312799
2010,"160302",6343.30077553907,5938.88644775273,6761.36886273301,"modelo_fh8_spatial",6394.1,0.992055297155045,0.928807251646475,1.05743871111384
2010,"160303",11071.2199216934,10337.1126821455,11825.9945230388,"modelo_fh8_spatial",11180.7,0.990208119499978,0.924549686705256,1.0577150377918
2010,"160304",22353.5137298615,20940.0567261601,23795.6458294842,"modelo_fh8_spatial",24092.1,0.927835835392576,0.869166935475118,0.987694963472848
2010,"160305",6810.62505138466,6315.11161510352,7327.73166710588,"modelo_fh8_spatial",6885.8,0.989082612243264,0.917120975791269,1.06418014858199
2010,"160401",12207.7747360725,11554.0171872844,12884.1822735289,"modelo_fh8_spatial",12836.1,0.951050142650219,0.900118975957216,1.00374586311488
2010,"160402",12356.8806406054,11555.1312494997,13147.1914537953,"modelo_fh8_spatial",13295.3,0.929417210638756,0.869113991372866,0.988860082419746
2010,"160403",12117.4372679781,11352.5586051048,12907.8028143404,"modelo_fh8_spatial",12393.8,0.977701533668294,0.915986913223128,1.04147257615424
2010,"160404",14458.1544031472,13628.3376763157,15303.9101007111,"modelo_fh8_spatial",15041,0.961249544787394,0.90607922852973,1.01747956257636
2010,"160501",16889.3224949781,16043.4566942182,17745.3659858252,"modelo_fh8_spatial",19255.6,0.877112242411462,0.833183940994735,0.921569101239391
2010,"160502",3923.50913684323,3581.965197164,4287.24931236028,"modelo_fh8_spatial",3966.5,0.989161511872741,0.903054379721164,1.08086456885422
2010,"160503",1433.73985825532,1300.25832485575,1574.43818216481,"modelo_fh8_spatial",1517.6,0.944741604016419,0.856785928344589,1.03745267670322
2010,"160504",4645.34743926138,4382.25013112826,4913.92697294531,"modelo_fh8_spatial",4678.7,0.992871404292086,0.93663841048331,1.05027613930051
2010,"160505",6214.62658851162,5824.96386583214,6610.98406944242,"modelo_fh8_spatial",6259.9,0.992767710109047,0.930520274418464,1.05608461308366
2010,"160506",2742.64856292094,2527.01801457674,2967.60375462615,"modelo_fh8_spatial",2719.7,1.0084379023131,0.929153220787858,1.09115113969414
2010,"160507",1451.98697264445,1356.3848659851,1551.24296952713,"modelo_fh8_spatial",1490.2,0.974357114913735,0.91020323848148,1.04096293754337
2010,"160508",1654.29616410718,1443.48882938929,1887.1003533027,"modelo_fh8_spatial",1699.8,0.973229888285196,0.849210983285854,1.11018964190064
2010,"160509",1284.87849676081,1132.6515769134,1452.42019706901,"modelo_fh8_spatial",1260.2,1.01958300012761,0.898787158318841,1.15253150061023
2010,"160510",6391.87658764457,5699.80939598543,7142.02316008326,"modelo_fh8_spatial",6411.9,0.996877148371711,0.888942340957506,1.11387001670071
2010,"160511",5090.07655268654,4618.42603399093,5593.07576469016,"modelo_fh8_spatial",5415.7,0.939874171886651,0.852784687850311,1.03275214001702
